Item ID,Name,Color,Size,SKU,Sale Date,Listing Amount,Sale Fees + Shipping,Net Sale,Purchase Subtotal,Purchase Tax,Purchase Shipping,Purchase Total,Profit,Sale Platform,Imported From
27565370,adidas Ultra Boost 5.0 DNA Triple Black,Core Black/Core Black/Beam Green,11.5,GV8745,01/15/2024,$98.00,$10.96,$87.04,$77.56,$0.00,$0.00,$77.56,$9.48,,spreadsheet
27786452,Nike Ja 1 Fuel,Ember Glow/Blue Lightning-Light Silver-Black,10.5,DR8785-800/DR8786-800,01/15/2024,$99.00,$11.06,$87.94,$76.98,$0.00,$0.00,$76.98,$10.96,,upc_scan
27565428,Nike Air Max 90 Triple Red (2020),University Red/University Red-Black,9.5,CZ7918-600,01/15/2024,$88.00,$9.91,$78.09,$55.10,$0.00,$0.00,$55.10,$22.99,,spreadsheet
27906815,Nike ZoomX Vaporfly Next% 2 White Volt Racer Blue,White/Black-Volt-Racer Blue-Bright Crimson,12,CU4111-103,01/16/2024,$125.00,$13.80,$111.20,$97.97,$0.00,$0.00,$97.97,$13.23,,upc_scan
27906783,Nike LeBron 20 Miami Heat,Black/Black/University Red/University Gold/Light Smoke Grey,9,DJ5423-001/DJ5422-001,01/16/2024,$147.00,$16.12,$130.88,$99.99,$0.00,$0.00,$99.99,$30.89,,upc_scan
27565419,Nike Ja 1 Light Smoke Grey,White/Light Smoke Grey-Black-Phantom-Light Bone-Photon Dust,9.5,DR8785-100/DR8786-100,01/16/2024,$92.00,$10.33,$81.67,$75.40,$0.00,$0.00,$75.40,$6.27,,spreadsheet
27906814,Nike ZoomX Vaporfly Next% 2 White Volt Racer Blue,White/Black-Volt-Racer Blue-Bright Crimson,12,CU4111-103,01/17/2024,$123.00,$16.92,$106.08,$97.97,$0.00,$0.00,$97.97,$8.11,,upc_scan
27906813,Nike ZoomX Vaporfly Next% 2 White Volt Racer Blue,White/Black-Volt-Racer Blue-Bright Crimson,9,CU4111-103,01/18/2024,$125.00,$13.93,$111.07,$97.97,$0.00,$0.00,$97.97,$13.10,,upc_scan
27786459,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,9.5,DH2973-100,01/18/2024,$100.00,$11.30,$88.70,$76.98,$0.00,$0.00,$76.98,$11.72,,upc_scan
27565444,Nike Air Force 1 Low PRM Halloween (2023),Black/Black-Smoke Grey-Campfire Orange-Green,11,FQ8822-084,01/18/2024,$108.50,$0.00,$108.50,$108.75,$0.00,$0.00,$108.75,-$0.25,alias,spreadsheet
27565418,Nike Ja 1 Light Smoke Grey,White/Light Smoke Grey-Black-Phantom-Light Bone-Photon Dust,9.5,DR8785-100/DR8786-100,01/18/2024,$85.66,$0.00,$85.66,$75.40,$0.00,$0.00,$75.40,$10.26,alias,spreadsheet
27565399,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,13,DH2973-100,01/18/2024,$87.41,$0.00,$87.41,$75.40,$0.00,$0.00,$75.40,$12.01,Alias,spreadsheet
27565388,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,8.5,DH2973-100,01/18/2024,$89.12,$0.00,$89.12,$77.15,$0.00,$0.00,$77.15,$11.97,alias,spreadsheet
27565392,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,9.5,DH2973-100,01/18/2024,$102.00,$11.51,$90.49,$77.15,$0.00,$0.00,$77.15,$13.34,,spreadsheet
27616525,Nike Sportswear Tech Fleece Full-Zip Hoodie Black,Black,XXL,CU4489-010,01/18/2024,$74.00,$11.77,$62.23,$62.99,$0.00,$0.00,$62.99,-$0.76,,manual
27906781,Nike LeBron 20 Miami Heat,Black/Black/University Red/University Gold/Light Smoke Grey,10.5,DJ5423-001/DJ5422-001,01/19/2024,$134.00,$14.87,$119.13,$99.99,$0.00,$0.00,$99.99,$19.14,,upc_scan
27565366,Nike Kwondo 1 G-Dragon Peaceminusone Panda,Black/White,12,DH2482-101,01/19/2024,$135.75,$0.00,$135.75,$107.76,$0.00,$0.00,$107.76,$27.99,alias,spreadsheet
27565378,Jordan 3 Retro Fear Pack (2023),Night Stadium/Total Orange-Black-Flat Pewter-Neutral Grey,10,CT8532-080,01/19/2024,$147.00,$0.00,$147.00,$147.00,$0.00,$0.00,$147.00,$0.00,Returned to Nike,spreadsheet
27565377,Jordan 3 Retro Fear Pack (2023),Night Stadium/Total Orange-Black-Flat Pewter-Neutral Grey,9.5,CT8532-080,01/19/2024,$147.00,$0.00,$147.00,$147.00,$0.00,$0.00,$147.00,$0.00,Returned to Nike,spreadsheet
27565306,Jordan 1 Mid Wear-Away Chicago,Black/Infrared 23-White-Sail,10.5,DV9565-006,01/19/2024,$100.00,$11.30,$88.70,$81.48,$0.00,$0.00,$81.48,$7.22,,spreadsheet
27565439,Nike Air Max 90 Triple Red (2020),University Red/University Red-Black,10,CZ7918-600,01/19/2024,$94.00,$10.54,$83.46,$55.10,$0.00,$0.00,$55.10,$28.36,,spreadsheet
27565345,Nike Kwondo 1 G-Dragon Peaceminusone Panda,Black/White,8,DH2482-101,01/21/2024,$144.00,$15.79,$128.21,$107.76,$0.00,$0.00,$107.76,$20.45,,spreadsheet
27565401,Nike Air Force 1 Low '07 Black,Black/Black,10,315122-001/CW2288-001,01/21/2024,$96.00,$10.75,$85.25,$86.25,$0.00,$0.00,$86.25,-$1.00,,spreadsheet
27613672,Nike Air Max 90 Triple Red (2020),University Red/University Red-Black,11,CZ7918-600,01/21/2024,$120.00,$13.27,$106.73,$54.73,$0.00,$0.00,$54.73,$52.00,,upc_scan
27565317,Nike Air Max 1 '86 OG Big Bubble Lost Sketch,Light Smoke Grey/Diffused Blue,9,DV7525-001,01/22/2024,$85.00,$9.60,$75.40,$76.97,$0.00,$0.00,$76.97,-$1.57,,spreadsheet
28090923,adidas Ultra Boost 5.0 DNA Triple Black,Core Black/Core Black/Beam Green,11.5,GV8745,01/22/2024,$98.84,$0.00,$98.84,$84.67,$0.00,$0.00,$84.67,$14.17,alias,upc_scan
27786447,Nike Ja 1 Light Smoke Grey,White/Light Smoke Grey-Black-Phantom-Light Bone-Photon Dust,10,DR8785-100/DR8786-100,01/22/2024,$83.03,$0.00,$83.03,$76.98,$0.00,$0.00,$76.98,$6.05,alias,upc_scan
27584540,Nike Air Force 1 High White,White/White,9.5,315121-115/CW2290-111,01/22/2024,$88.30,$0.00,$88.30,$62.97,$0.00,$0.00,$62.97,$25.33,alias,manual
27584542,Nike Air Force 1 High White,White/White,9.5,315121-115/CW2290-111,01/22/2024,$102.00,$12.04,$89.96,$62.97,$0.00,$0.00,$62.97,$26.99,,manual
27565402,Nike Air Force 1 Low '07 Black,Black/Black,10.5,315122-001/CW2288-001,01/23/2024,$97.00,$10.86,$86.14,$86.25,$0.00,$0.00,$86.25,-$0.11,,spreadsheet
27616521,Nike Sportswear Tech Fleece Full-Zip Hoodie Black,Black,XXL,CU4489-010,01/23/2024,$80.00,$12.41,$67.59,$62.99,$0.00,$0.00,$62.99,$4.60,,manual
27565362,Nike Kwondo 1 G-Dragon Peaceminusone Panda,Black/White,10.5,DH2482-101,01/24/2024,$110.26,$0.00,$110.26,$107.76,$0.00,$0.00,$107.76,$2.50,Alias,spreadsheet
27565299,Jordan 1 Mid Wear-Away Chicago,Black/Infrared 23-White-Sail,8,DV9565-006,01/24/2024,$109.00,$12.77,$96.23,$81.48,$0.00,$0.00,$81.48,$14.75,,spreadsheet
28061400,Nike Air Max Terrascape 90 White Grey,White/White/White/White,11,DQ3987-101,01/24/2024,$113.00,$13.20,$99.80,$89.97,$0.00,$0.00,$89.97,$9.83,,upc_scan
